python3	/Users/timm/gits/moot/optimize/rl/A2C_CartPole.csv	1.49	1.48	26836992	0
pypy3	/Users/timm/gits/moot/optimize/rl/A2C_CartPole.csv	0.37	0.36	60588032	0
lua	/Users/timm/gits/moot/optimize/rl/A2C_CartPole.csv	0.03	0.03	2867200	0
luajit	/Users/timm/gits/moot/optimize/rl/A2C_CartPole.csv	0.02	0.01	3145728	0
python3	/Users/timm/gits/moot/optimize/sales_data/socks.csv	1.52	1.5	27049984	0
pypy3	/Users/timm/gits/moot/optimize/sales_data/socks.csv	0.38	0.37	59555840	0
lua	/Users/timm/gits/moot/optimize/sales_data/socks.csv	0.06	0.06	3014656	0
luajit	/Users/timm/gits/moot/optimize/sales_data/socks.csv	0.02	0.01	3571712	0
python3	/Users/timm/gits/moot/optimize/misc/auto93.csv	1.46	1.46	27033600	0
pypy3	/Users/timm/gits/moot/optimize/misc/auto93.csv	0.39	0.38	58343424	0
lua	/Users/timm/gits/moot/optimize/misc/auto93.csv	0.02	0.02	2932736	0
luajit	/Users/timm/gits/moot/optimize/misc/auto93.csv	0.01	0.01	2965504	0
python3	/Users/timm/gits/moot/optimize/misc/multiLabel.csv	1.59	1.57	27082752	0
pypy3	/Users/timm/gits/moot/optimize/misc/multiLabel.csv	0.49	0.48	66011136	0
lua	/Users/timm/gits/moot/optimize/misc/multiLabel.csv	0.15	0.14	4243456	0
luajit	/Users/timm/gits/moot/optimize/misc/multiLabel.csv	0.04	0.03	3719168	0
python3	/Users/timm/gits/moot/optimize/process/pom3d.csv	1.52	1.5	26836992	0
pypy3	/Users/timm/gits/moot/optimize/process/pom3d.csv	0.39	0.38	60866560	0
lua	/Users/timm/gits/moot/optimize/process/pom3d.csv	0.05	0.05	3325952	0
luajit	/Users/timm/gits/moot/optimize/process/pom3d.csv	0.03	0.03	3325952	0
python3	/Users/timm/gits/moot/optimize/behavior_data/student_dropout.csv	1.57	1.56	26820608	0
pypy3	/Users/timm/gits/moot/optimize/behavior_data/student_dropout.csv	0.77	0.49	58572800	0
lua	/Users/timm/gits/moot/optimize/behavior_data/student_dropout.csv	0.19	0.12	4849664	0
luajit	/Users/timm/gits/moot/optimize/behavior_data/student_dropout.csv	0.05	0.04	5013504	0
python3	/Users/timm/gits/moot/optimize/config/SS-E.csv	1.66	1.59	26247168	0
pypy3	/Users/timm/gits/moot/optimize/config/SS-E.csv	0.38	0.37	61276160	0
lua	/Users/timm/gits/moot/optimize/config/SS-E.csv	0.02	0.02	3096576	0
luajit	/Users/timm/gits/moot/optimize/config/SS-E.csv	0.01	0.01	3506176	0
python3	/Users/timm/gits/moot/optimize/config/SS-M.csv	1.49	1.48	26902528	0
pypy3	/Users/timm/gits/moot/optimize/config/SS-M.csv	0.38	0.37	59817984	0
lua	/Users/timm/gits/moot/optimize/config/SS-M.csv	0.04	0.04	4128768	0
luajit	/Users/timm/gits/moot/optimize/config/SS-M.csv	0.03	0.02	5029888	0
python3	/Users/timm/gits/moot/optimize/systems/HSQLDB.csv	1.48	1.47	27230208	0
pypy3	/Users/timm/gits/moot/optimize/systems/HSQLDB.csv	0.28	0.27	58769408	0
lua	/Users/timm/gits/moot/optimize/systems/HSQLDB.csv	0.04	0.04	4259840	0
luajit	/Users/timm/gits/moot/optimize/systems/HSQLDB.csv	0.02	0.02	4751360	0
python3	/Users/timm/gits/moot/optimize/sales_data/dress-up.csv	1.50	1.5	27475968	0
pypy3	/Users/timm/gits/moot/optimize/sales_data/dress-up.csv	0.41	0.4	60538880	0
lua	/Users/timm/gits/moot/optimize/sales_data/dress-up.csv	0.07	0.07	4751360	0
luajit	/Users/timm/gits/moot/optimize/sales_data/dress-up.csv	0.04	0.04	4587520	0
python3	/Users/timm/gits/moot/optimize/config/SS-O.csv	1.52	1.5	27131904	0
pypy3	/Users/timm/gits/moot/optimize/config/SS-O.csv	0.44	0.42	59260928	0
lua	/Users/timm/gits/moot/optimize/config/SS-O.csv	0.05	0.04	3915776	0
luajit	/Users/timm/gits/moot/optimize/config/SS-O.csv	0.02	0.02	3964928	0
